fold,repeat,n_fit,n_inner_val,n_outer_val,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,50,9,7,0.9491525423728814,0.9505882352941176,0.9230769230769231,0.96,0.9411764705882353,0.9411764705882353,0.948200175592625,0.9694117647058823,24,32,2,1
2,1,50,9,7,0.9152542372881356,0.9158823529411765,0.8846153846153846,0.92,0.9117647058823529,0.9019607843137255,0.9136669593210418,0.9529411764705882,23,31,3,2
3,1,50,9,7,0.9152542372881356,0.9158823529411765,0.8846153846153846,0.92,0.9117647058823529,0.9019607843137255,0.9136669593210418,0.8823529411764707,23,31,3,2
4,1,50,9,7,0.9152542372881356,0.9158823529411765,0.8846153846153846,0.92,0.9117647058823529,0.9019607843137255,0.9136669593210418,0.9529411764705882,23,31,3,2
5,1,50,9,7,0.8983050847457628,0.8958823529411765,0.88,0.88,0.9117647058823529,0.88,0.8958823529411765,0.9058823529411764,22,31,3,3
6,1,50,9,7,0.9491525423728814,0.9452941176470588,0.9583333333333334,0.92,0.9705882352941176,0.9387755102040817,0.9476486246672582,0.9188235294117647,23,33,1,2
7,1,51,9,6,0.9166666666666666,0.9057142857142857,0.9545454545454546,0.84,0.9714285714285714,0.8936170212765957,0.9125619352958321,0.8765714285714287,21,34,1,4
8,1,51,9,6,0.9,0.8914285714285715,0.9130434782608695,0.84,0.9428571428571428,0.875,0.8958333333333333,0.9108571428571428,21,33,2,4
9,1,51,9,6,0.9333333333333333,0.9366515837104072,0.8928571428571429,0.9615384615384616,0.9117647058823529,0.9259259259259259,0.9326599326599327,0.9423076923076923,25,31,3,1
10,1,51,9,6,0.9166666666666666,0.9174208144796381,0.8888888888888888,0.9230769230769231,0.9117647058823529,0.9056603773584906,0.9155167558434244,0.9242081447963801,24,31,3,2
11,2,50,9,7,0.8983050847457628,0.9064705882352941,0.8275862068965517,0.96,0.8529411764705882,0.8888888888888888,0.8975694444444444,0.9258823529411765,24,29,5,1
12,2,50,9,7,0.9152542372881356,0.9052941176470588,0.9545454545454546,0.84,0.9705882352941176,0.8936170212765957,0.911597243032664,0.9294117647058823,21,33,1,4
13,2,50,9,7,0.9322033898305084,0.9252941176470588,0.9565217391304348,0.88,0.9705882352941176,0.9166666666666666,0.9297619047619048,0.9129411764705883,22,33,1,3
14,2,50,9,7,0.9322033898305084,0.9252941176470588,0.9565217391304348,0.88,0.9705882352941176,0.9166666666666666,0.9297619047619048,0.9152941176470588,22,33,1,3
15,2,50,9,7,0.9152542372881356,0.9211764705882353,0.8571428571428571,0.96,0.8823529411764706,0.9056603773584906,0.9143686502177069,0.9482352941176471,24,30,4,1
16,2,50,9,7,0.9661016949152542,0.9652941176470589,0.96,0.96,0.9705882352941176,0.96,0.9652941176470589,0.9588235294117646,24,33,1,1
17,2,51,9,6,0.9,0.8914285714285715,0.9130434782608695,0.84,0.9428571428571428,0.875,0.8958333333333333,0.9302857142857143,21,33,2,4
18,2,51,9,6,0.8666666666666667,0.8685714285714285,0.8148148148148148,0.88,0.8571428571428571,0.8461538461538461,0.8642533936651584,0.912,22,30,5,3
19,2,51,9,6,0.9333333333333333,0.9321266968325792,0.9230769230769231,0.9230769230769231,0.9411764705882353,0.9230769230769231,0.9321266968325792,0.9638009049773756,24,32,2,2
20,2,51,9,6,0.9,0.8981900452488687,0.8846153846153846,0.8846153846153846,0.9117647058823529,0.8846153846153846,0.8981900452488687,0.923076923076923,23,31,3,3
