held_out_site,roi_set,model,seed_sd,seed_min,seed_max
NYU,12,brainnetcnn,0.0446012961587145,0.5355044699872287,0.6490421455938697
NYU,116,brainnetcnn,0.0305273139909816,0.5037037037037038,0.5701149425287356
Peking,12,brainnetcnn,0.0235022624052872,0.5428961071162907,0.5928589139598314
Peking,116,brainnetcnn,0.0277932136818334,0.4769402429952888,0.5504587155963303
NeuroIMAGE,12,brainnetcnn,0.0179761885710926,0.6122994652406417,0.6577540106951871
NeuroIMAGE,116,brainnetcnn,0.1300081278241931,0.2914438502673797,0.6443850267379679
OHSU,12,brainnetcnn,0.0372375015597859,0.5714285714285714,0.6625939849624061
OHSU,116,brainnetcnn,0.075599204340964,0.4285714285714285,0.6127819548872182
