held_out_site,held_out_n,fit_n,inner_val_n,bnn12_auc_point,bnn12_auc_ci_low,bnn12_auc_ci_high,bnn12_display,logreg12_auc_point,logreg12_auc_ci_low,logreg12_auc_ci_high,logreg12_display,bnn116_auc_point,bnn116_auc_ci_low,bnn116_auc_ci_high,bnn116_display,logreg116_auc_point,logreg116_auc_ci_low,logreg116_auc_ci_high,logreg116_display
NYU,177,244,44,0.575683269476373,0.5085561941251596,0.6418914431673052,"57.6% [50.9, 64.2]",0.5600255427841634,0.4716443167305236,0.6463601532567049,"56.0% [47.2, 64.6]",0.5454150702426566,0.4812765006385696,0.6075357598978289,"54.5% [48.1, 60.8]",0.5565772669220944,0.4701149425287356,0.6390836526181354,"55.7% [47.0, 63.9]"
Peking,183,239,43,0.5622365484750806,0.4861629060252913,0.635234316885693,"56.2% [48.6, 63.5]",0.5283907760971981,0.4406118274237541,0.6151748078353583,"52.8% [44.1, 61.5]",0.5182494421026531,0.4582389040416564,0.5787013389536325,"51.8% [45.8, 57.9]",0.5426481527398959,0.4528855690552938,0.6286914207785766,"54.3% [45.3, 62.9]"
NeuroIMAGE,39,362,64,0.6331550802139038,0.4780748663101605,0.7732620320855614,"63.3% [47.8, 77.3]",0.6390374331550802,0.4572192513368984,0.8048128342245989,"63.9% [45.7, 80.5]",0.5005347593582888,0.3882219251336899,0.6144385026737967,"50.1% [38.8, 61.4]",0.5721925133689839,0.3877005347593583,0.7460561497326194,"57.2% [38.8, 74.6]"
OHSU,66,339,60,0.631015037593985,0.5039426691729324,0.7526315789473684,"63.1% [50.4, 75.3]",0.5328947368421053,0.3919172932330827,0.6710526315789473,"53.3% [39.2, 67.1]",0.4960526315789473,0.3928571428571429,0.6007518796992481,"49.6% [39.3, 60.1]",0.443609022556391,0.3016917293233083,0.5892857142857143,"44.4% [30.2, 58.9]"
