site,auc_12,auc_116,delta_auc,bilateral_ci_low,bilateral_ci_high
NYU,0.5904725415070243,0.5393103448275862,0.05116219667943811,-0.007229885057471246,0.11075478927203074
Peking,0.5637490701710884,0.60329779320605,-0.0395487230349616,-0.10495908752789485,0.02452454748326313
NeuroIMAGE,0.47379679144385023,0.5192513368983958,-0.045454545454545525,-0.2,0.1026737967914439
OHSU,0.5492481203007519,0.5582706766917294,-0.009022556390977488,-0.09887218045112789,0.08271146616541351
