contrast_id,ref_dir,new_dir,n_subjects,n_control,n_adhd,n_iter,seed,generator,ref_auc_point,ref_ci_low,ref_ci_high,new_auc_point,new_ci_low,new_ci_high,delta,delta_ci_low,delta_ci_high,ref_predictions_sha256,new_predictions_sha256,ref_config_sha256,new_config_sha256
baseline__NYU__roi116,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/116/NYU_rois116_w60s6_brainnetcnn_control_baseline_v13_160b89cd,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/116/NYU_rois116_static_logreg_baseline_aafd45ca,177,87,90,10000,42,PCG64,0.5393103448275862,0.4880197956577267,0.5896047254150703,0.5631928480204342,0.4858492975734355,0.6368071519795657,0.023882503192848015,-0.03826436781609199,0.08605555555555554,2bea2332dc9cb5e8f51642c8ad94e38bd6c21ae3ab1d13d4fee4b37b66f8c73c,31123341395e4095699ca53a48465a383dda338ca3f2ae73deebd5d4adb542a4,0eb33e466ac07eac14d03452982766b672ef9e60124a9fc1cc75ca3490a1eec4,8e0d6df8988882dbaff17c3cfdffc96f26ab9c3f1ee9c9a3304006ad58a582a1
baseline__NYU__roi12,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/12/NYU_rois12_static_brainnetcnn_rev32_static_r12_f78fe9f1,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/12/NYU_rois12_static_logreg_baseline_aafd45ca,177,87,90,10000,42,PCG64,0.5499361430395913,0.5016602809706259,0.600103448275862,0.5750702426564496,0.5010197956577267,0.6480217113665389,0.025134099616858308,-0.04697445721583638,0.09525223499361432,0a6331f15a4359281a4881d4df396a43cb93e88d9881a3f674e455b983c8bbf5,483d8436951e66221022004f3b07e048416d202d5c5d7c98d064740b62f945e8,0e0289afe6b08a9aaa1408d0f599679051db25b251a060f5377d9ea679769a3e,51437f9199641d7e811e94b6b37173db2c305aa0d6f28efed0ea4b863bd95509
baseline__NYU__roi18,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/18/NYU_rois18_w60s6_brainnetcnn_control_baseline_v13_662d71a9,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/18/NYU_rois18_static_logreg_baseline_aafd45ca,177,87,90,10000,42,PCG64,0.5999744572158365,0.5471749680715198,0.6530293742017881,0.5608939974457214,0.487352490421456,0.6323173690932311,-0.039080459770115095,-0.11019220945083019,0.030446998722860722,046ef3b28a8d68099382e9c6a98c6c73571bf5563c0e4ac222be4b4b0245d58e,6bd28332df6321ebe52929f7aace53b08b02dbbe778e0e8ce254dbb698d6e4b6,007e9af148cb50c73464ae512eb7854a30ee8e960b72a307c3d81eb60503df0e,efd5f8b6337242c39bdef0669aa08e784f85cf5f8547caa17cdfe3a7d356a8ab
baseline__NYU__roi39,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/39/NYU_rois39_w60s6_brainnetcnn_control_base_line_1521c348,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/39/NYU_rois39_static_logreg_baseline_aafd45ca,177,87,90,10000,42,PCG64,0.5283014048531289,0.47445593869731806,0.5815344827586207,0.5295274584929757,0.4544540229885057,0.6050076628352491,0.0012260536398467359,-0.06217369093231174,0.06536398467432936,bd00c4b1de7016748bade5198c18c4214577ab6cab4e7c0af8aa5f5e575393f8,1d4ee140869f4ed6e78a4466949e0c318a9c334d348dff433ceecc66885b9775,1c3e2ffc48c0905f591666ba695666e4448852a32750219145d1b1f97b105ee1,df1b8b15f7c3e54abae0dd4fa2adfe233e1a54ff56f1c81a8c725e4efb53441b
baseline__NeuroIMAGE__roi116,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/116/NeuroIMAGE_rois116_w61s6_brainnetcnn_control_baseline_v13_669d72bd,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/116/NeuroIMAGE_rois116_static_logreg_baseline_bc5c92b2,39,22,17,10000,42,PCG64,0.5192513368983958,0.4149732620320856,0.625668449197861,0.5497326203208556,0.39090909090909093,0.7042780748663102,0.030481283422459815,-0.10695187165775394,0.17165775401069522,6f502d254ddbf7e29172171a9b8d7c41e1311be43e083821958ad74044620f1a,ca53a0ef723187d83b7ee4d170bb68f19808eede419fbb594f96312d776daa7a,d89c3e6385cc7b2fb78a13b43d47e2f0b31e210b16c0e8a5826a71967a0e6c61,032cd1930929a7ea350bb2ac67b22bef25988727a8c2ac2921049b77bea95b7d
baseline__NeuroIMAGE__roi12,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/12/NeuroIMAGE_rois12_static_brainnetcnn_rev32_static_r12_2dcba12c,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/12/NeuroIMAGE_rois12_static_logreg_baseline_bc5c92b2,39,22,17,10000,42,PCG64,0.527807486631016,0.4449197860962567,0.6133689839572193,0.6320855614973262,0.48020053475935826,0.7791443850267379,0.10427807486631024,-0.053475935828877,0.25883689839572177,78acebdd12eb21d03a2eb81e4e5bb2804df75d54bfde5a815452dfb8ad90866e,c60c930cad48337b4443309d97b6a7664068dfa762862c3dccdb7cc9082660d8,5bf623935a0f00f1e4bc5b7b967efe726e763c329f549376f976fc8b7c257321,b2e2afe571a78384d90c199695c3a50cd1b0fac3ebecdade3da21a6409f94817
baseline__NeuroIMAGE__roi18,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/18/NeuroIMAGE_rois18_w61s6_brainnetcnn_control_baseline_v13_93342cf0,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/18/NeuroIMAGE_rois18_static_logreg_baseline_bc5c92b2,39,22,17,10000,42,PCG64,0.6197860962566846,0.5160294117647058,0.7203208556149733,0.5647058823529412,0.4048128342245989,0.7203208556149733,-0.0550802139037434,-0.1989304812834224,0.0887700534759357,bde017fa6064a9137ab3d51fe79d9315756e6730a38ff105a7efcb753023b736,9a342af0db6f23bb33715268772b96c0af19b2ddb1f02adf5842a603da96bff9,07b95530a4f70eb57fe81db92b54a73ae3a5fe24bc63e4190f895b70a7f32555,206a1a992878442891593bf9c9ff19c93ce7113684cf09008dd4ced2fecea178
baseline__NeuroIMAGE__roi39,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/39/NeuroIMAGE_rois39_w61s6_brainnetcnn_control_baseline_v13_dc028168,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/39/NeuroIMAGE_rois39_static_logreg_baseline_bc5c92b2,39,22,17,10000,42,PCG64,0.5074866310160429,0.41818181818181815,0.6000133689839571,0.5112299465240642,0.3518582887700535,0.6721925133689839,0.0037433155080213165,-0.14224598930481291,0.14760695187165765,e37184eba3d5e7eaf08794cd9eefbacb22e485ac4939a67e16a5dbdf9e5acb44,6e2412bfad55dcfc3d318646bf5a8dfe6b587c27d5363e4751862b476390c028,22e3374e547098db2fdd764fc9ae90adb83ba1f50d8a69a83d746a538c698c81,f45fb6cb4b57cda6bec003a9e98ee1fd99d9a3f695714f8a5e37c9990a15da6d
baseline__OHSU__roi116,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/116/OHSU_rois116_w48s5_brainnetcnn_control_baseline_v13_f82f17b4,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/116/OHSU_rois116_static_logreg_baseline_a59dca47,66,38,28,10000,42,PCG64,0.5582706766917294,0.47819078947368426,0.6381578947368421,0.5462406015037594,0.41710056390977446,0.6757518796992481,-0.012030075187969946,-0.10563909774436081,0.08120300751879705,9292cd33083cc52eaba938bc0b0f56a60cd8cc127db8bfc8b7733ff9d4d2444f,01baa89dea6e1c574c4aaa81b6ec8e6bde79eae683024e171007295741d40c7b,f8fc95206aa9ac294490283a318ae280c8eec4c73951ee13877a90afb5949536,78ee1f52d0c353d57c3e968eaa3dd644a0aa91f8461467c0c8cb6bed478cfffc
baseline__OHSU__roi12,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/12/OHSU_rois12_static_brainnetcnn_rev32_lstm128_ordered_85129048,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/12/OHSU_rois12_static_logreg_baseline_a59dca47,66,38,28,10000,42,PCG64,0.5148496240601504,0.43928571428571433,0.5866541353383459,0.49586466165413545,0.37293233082706767,0.6218045112781955,-0.018984962406014994,-0.1345911654135339,0.10413533834586453,6e0782ca6344485549f2515cca7167056ae7e97bdb5b9115e33108c4a5f84362,61cd9feaa612f8eda2c9ec4b83908506a62e3d915e2add8f1c52cb6b1917cb87,93f3c96cddf548b855654175eed2a4d409e71e9847720028b33708f03929f6e3,bc0101c2b86ce00289f0702dad68fe88a27e626f667d86e99bd428be72fe59d2
baseline__OHSU__roi18,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/18/OHSU_rois18_w48s5_brainnetcnn_2ce6c48e,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/18/OHSU_rois18_static_logreg_baseline_a59dca47,66,38,28,10000,42,PCG64,0.5221804511278195,0.443796992481203,0.6009398496240601,0.6285714285714287,0.506578947368421,0.743796992481203,0.10639097744360915,-0.007335526315789374,0.2156109022556391,e09bd14969c9390db4a1590ff0615b9e3e3654db83deca17b978ef6ce3cec07b,6152f4ef3027e6ab5760688fc296213ae4777b9672b99103203f559d3656f073,22903184fc8a6edcce29ed16b3bd060c6edb5041a969f0f6a1250ad651d07519,788392f10eb21f209df7279bf45eb3def9b8c33ca36e5800965b3147dbd7efd7
baseline__OHSU__roi39,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/39/OHSU_rois39_w48s5_brainnetcnn_control_baseline_v13_299719fe,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/39/OHSU_rois39_static_logreg_baseline_a59dca47,66,38,28,10000,42,PCG64,0.5013157894736843,0.40544642857142854,0.5969971804511277,0.36296992481203005,0.24661654135338346,0.4853430451127819,-0.13834586466165422,-0.2332706766917293,-0.04680451127819546,09a1044a6994f0880e9dcfd75e9b8103d39f839618dbb3d74a195609f8ab474f,68064e163c8c767530820a609cc086280f19edaf594abdea5a9ea74e50021009,2cfbf7ef20ea88a11334912f48c8d12240b4d6c1bff21ad3645f99031a1891c2,e0b4f51d042fa7626dbfd2e24f9d099be6717fc6ed52c4483d9dd09174d3d6d8
baseline__Peking__roi116,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/116/Peking_rois116_w60s6_brainnetcnn_240732d1,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/116/Peking_rois116_static_logreg_baseline_1e9626ad,183,109,74,10000,42,PCG64,0.6032977932060501,0.5435655839325564,0.6607990329779322,0.5922886188941235,0.5143057277460947,0.6690571534837589,-0.011009174311926606,-0.07371683610215729,0.05303868088271759,83a571c8dfaed651d59346727b60aacaa23113f03082fb3977c1738f31ab4b51,36b62b6ffff5d7b5d53684c48071c70aa2cf17b19bcd51005c54fb65344aeb18,4c59009af60c545c9a6eaf26458c4463c68a9b76b5c48b8633a78ddf535ec7a5,8553348d87942a2dcc0505dc10df1e41cf3f40d0a1008bba725d649f811db186
baseline__Peking__roi12,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/12/Peking_rois12_static_brainnetcnn_rev32_lstm128_ordered_61d3f2af,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/12/Peking_rois12_static_logreg_baseline_1e9626ad,183,109,74,10000,42,PCG64,0.528861889412348,0.4833622613439128,0.5744365236796429,0.5921646417059261,0.5199838829655344,0.6634763203570543,0.06330275229357807,-0.011084180510786149,0.13945078105628564,52ff9189d6062747aa4d5506c06b96835f2a4af331228cd8e5dbf7defda5dba2,7e97911013d1aab1a35c7773183f35e65393e43de8ffd10914e03b3cfdb3da3d,887405214d92a57d8395ffcdbfc9a77ee59c2f4b8db794810dedb5045cfcf1dd,78887efa8127258705996817e8ef01cf680d9250b0ffc9576821013a22f2c553
baseline__Peking__roi18,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/18/Peking_rois18_w60s6_brainnetcnn_control_baseline_v13_0bf7fa0e,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/18/Peking_rois18_static_logreg_baseline_1e9626ad,183,109,74,10000,42,PCG64,0.5675179766922887,0.5060494668980907,0.6282426233573023,0.5043639970245475,0.43039796677411357,0.5764964046615422,-0.06315397966774117,-0.13769154475576498,0.012597941978675895,f5a8cceffaa5c849886201c105696282f65b270af31c50bd447a33ce2486ae01,e23c3c5d25654ba35ecc22b5af869b37ad2895a55086e36bf005690f1d485903,aaec52844565b5f78f4fa5f9ae95527e24723c6be91f728c2fae77c5cf1af9f7,2949d07cab168136e97394f7605753e9b6b474a28f8c4969876fbe63651afb94
baseline__Peking__roi39,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/39/Peking_rois39_w60s6_brainnetcnn_control_baseline_v13_396e34d2,/sessions/laughing-wizardly-archimedes/mnt/tdha-revision/results/runs/39/Peking_rois39_static_logreg_baseline_1e9626ad,183,109,74,10000,42,PCG64,0.622216712124969,0.5651109595834366,0.6773890404165633,0.6237788246962558,0.5486219935531862,0.6977932060500869,0.0015621125712868,-0.06181750557897345,0.06516303000247943,b055ba080efbd57e86bf469dd509b32fc26ca45847e2a7735ca022a0aafec524,c4836372ce77543a737f114fcc786ddeae0719fd797ac99603078fc9f13dedfe,3928bea9a6513dbd08ce6ba2c488ba33715213f1337cbb9b06870fb28eacb890,27a430d93f727b3f7fd5a568651c1bb7fa7aaf31744744c7637d1c7935f331b4
