site,n_subjects,delta_auc,bootstrap_standard_error,bilateral_ci_low,bilateral_ci_high,bilateral_interval_width
NYU,177,0.05116219667943811,0.0301943042335429,-0.007229885057471246,0.11075478927203074,0.11798467432950198
Peking,183,-0.0395487230349616,0.03313533628407559,-0.10495908752789485,0.02452454748326313,0.12948363501115798
NeuroIMAGE,39,-0.045454545454545525,0.07681293773449374,-0.2,0.1026737967914439,0.3026737967914439
OHSU,66,-0.009022556390977488,0.04605172112128029,-0.09887218045112789,0.08271146616541351,0.18158364661654142
