fold,repeat,n_fit,n_inner_val,n_outer_val,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,135,24,18,0.8616352201257862,0.8613485280151947,0.8554216867469879,0.8765432098765432,0.8461538461538461,0.8658536585365854,0.8614982578397212,0.8797087685976575,71,66,12,10
2,1,135,24,18,0.8050314465408805,0.8048433048433048,0.8048780487804879,0.8148148148148148,0.7948717948717948,0.8098159509202454,0.8049079754601227,0.8681544792655904,66,62,16,15
3,1,135,24,18,0.8050314465408805,0.8046058879392213,0.7976190476190477,0.8271604938271605,0.782051282051282,0.8121212121212121,0.8047534165181225,0.863880974992086,67,61,17,14
4,1,135,24,18,0.7484276729559748,0.7476258309591644,0.735632183908046,0.7901234567901234,0.7051282051282052,0.7619047619047619,0.7476190476190476,0.8562836340614118,64,55,23,17
5,1,135,24,18,0.8113207547169812,0.8107787274453941,0.8,0.8395061728395061,0.782051282051282,0.8192771084337349,0.8109543436905517,0.880500158277936,68,61,17,13
6,1,135,24,18,0.8616352201257862,0.8620607787274454,0.8831168831168831,0.8395061728395061,0.8846153846153846,0.8607594936708861,0.861629746835443,0.8879392212725545,68,69,9,13
7,1,135,24,18,0.7987421383647799,0.7981956315289649,0.788235294117647,0.8271604938271605,0.7692307692307693,0.8072289156626506,0.7983512999365885,0.8615068059512503,67,60,18,14
8,1,136,24,17,0.7875,0.7874667916862009,0.7901234567901234,0.7901234567901234,0.7848101265822784,0.7901234567901234,0.7874667916862009,0.8679481168932646,64,62,17,17
9,1,136,24,17,0.81875,0.8183309892170652,0.8023255813953488,0.8518518518518519,0.7848101265822784,0.8263473053892215,0.8184024108645453,0.8687294889826535,69,62,17,12
10,1,136,24,17,0.8,0.7993436474449133,0.7752808988764045,0.8518518518518519,0.7468354430379747,0.8117647058823529,0.7992156862745098,0.854039693702141,69,59,20,12
11,2,135,24,18,0.8176100628930818,0.8179012345679013,0.8333333333333334,0.8024691358024691,0.8333333333333334,0.8176100628930818,0.8176100628930818,0.8581829692940804,65,65,13,16
12,2,135,24,18,0.7610062893081762,0.7613960113960114,0.7792207792207793,0.7407407407407407,0.782051282051282,0.759493670886076,0.760996835443038,0.8387147831592277,60,61,17,21
13,2,135,24,18,0.8176100628930818,0.8176638176638176,0.825,0.8148148148148148,0.8205128205128205,0.8198757763975155,0.8175812003006686,0.8681544792655904,66,64,14,15
14,2,135,24,18,0.8238993710691824,0.8238366571699904,0.8271604938271605,0.8271604938271605,0.8205128205128205,0.8271604938271605,0.8238366571699904,0.8784425451092117,67,64,14,14
15,2,135,24,18,0.7610062893081762,0.7609211775878442,0.7654320987654321,0.7654320987654321,0.7564102564102564,0.7654320987654321,0.7609211775878442,0.8537511870845204,62,59,19,19
16,2,135,24,18,0.7987421383647799,0.7981956315289649,0.788235294117647,0.8271604938271605,0.7692307692307693,0.8072289156626506,0.7983512999365885,0.8823994935106046,67,60,18,14
17,2,135,24,18,0.7924528301886793,0.7917853751187085,0.7790697674418605,0.8271604938271605,0.7564102564102564,0.8023952095808383,0.7919260816116112,0.8754352643241532,67,59,19,14
18,2,136,24,17,0.7875,0.7877793405219565,0.8051948051948052,0.7654320987654321,0.810126582278481,0.7848101265822784,0.7874667916862009,0.8582591029848413,62,64,15,19
19,2,136,24,17,0.80625,0.806297859040475,0.8125,0.8024691358024691,0.810126582278481,0.8074534161490683,0.8062424313449744,0.8801375214877324,65,64,15,16
20,2,136,24,17,0.80625,0.8061415846225972,0.8048780487804879,0.8148148148148148,0.7974683544303798,0.8098159509202454,0.8061818608104412,0.867635568057509,66,63,16,15
21,3,135,24,18,0.8301886792452831,0.8300094966761633,0.8292682926829268,0.8395061728395061,0.8205128205128205,0.8343558282208589,0.830081139916881,0.9040835707502374,68,64,14,13
22,3,135,24,18,0.8364779874213837,0.8361823361823362,0.8313253012048193,0.8518518518518519,0.8205128205128205,0.8414634146341463,0.8363161229014888,0.917062361506806,69,64,14,12
23,3,135,24,18,0.8050314465408805,0.8050807217473884,0.8125,0.8024691358024691,0.8076923076923077,0.8074534161490683,0.8050005934248526,0.8626147515036404,65,63,15,16
24,3,135,24,18,0.8176100628930818,0.8171889838556505,0.8095238095238095,0.8395061728395061,0.7948717948717948,0.8242424242424242,0.8173499702911468,0.8822412155745488,68,62,16,13
25,3,135,24,18,0.8113207547169812,0.8112535612535612,0.8148148148148148,0.8148148148148148,0.8076923076923077,0.8148148148148148,0.8112535612535612,0.8738524849635961,66,63,15,15
26,3,135,24,18,0.8553459119496856,0.8554131054131053,0.8625,0.8518518518518519,0.8589743589743589,0.8571428571428571,0.8553230209281164,0.870053814498259,69,67,11,12
27,3,135,24,18,0.7987421383647799,0.7981956315289649,0.788235294117647,0.8271604938271605,0.7692307692307693,0.8072289156626506,0.7983512999365885,0.8749604305159862,67,60,18,14
28,3,136,24,17,0.80625,0.8064541334583528,0.8205128205128205,0.7901234567901234,0.8227848101265823,0.8050314465408805,0.8062424313449744,0.8699796843256759,64,65,14,17
29,3,136,24,17,0.775,0.7748085638380997,0.7710843373493976,0.7901234567901234,0.759493670886076,0.7804878048780488,0.7748592870544091,0.8621659634317861,64,60,19,17
30,3,136,24,17,0.8375,0.8377871542428504,0.8571428571428571,0.8148148148148148,0.8607594936708861,0.8354430379746836,0.8374746054070948,0.8702922331614313,66,68,11,15
31,4,135,24,18,0.8238993710691824,0.8231244064577398,0.8045977011494253,0.8641975308641975,0.782051282051282,0.8333333333333334,0.8233333333333334,0.8700538144982589,70,61,17,11
32,4,135,24,18,0.7924528301886793,0.7927350427350428,0.8076923076923077,0.7777777777777778,0.8076923076923077,0.7924528301886793,0.7924528301886793,0.8700538144982588,63,63,15,18
33,4,135,24,18,0.8238993710691824,0.8240740740740741,0.8354430379746836,0.8148148148148148,0.8333333333333334,0.825,0.8238924050632912,0.8819246597024375,66,65,13,15
34,4,135,24,18,0.7672955974842768,0.767094017094017,0.7682926829268293,0.7777777777777778,0.7564102564102564,0.7730061349693251,0.7671482287749851,0.8619816397594174,63,59,19,18
35,4,135,24,18,0.8238993710691824,0.8238366571699904,0.8271604938271605,0.8271604938271605,0.8205128205128205,0.8271604938271605,0.8238366571699904,0.8751187084520416,67,64,14,14
36,4,135,24,18,0.8050314465408805,0.8050807217473884,0.8125,0.8024691358024691,0.8076923076923077,0.8074534161490683,0.8050005934248526,0.8767014878125989,65,63,15,16
37,4,135,24,18,0.7672955974842768,0.7675688509021843,0.782051282051282,0.7530864197530864,0.782051282051282,0.7672955974842768,0.7672955974842768,0.8521684077239633,61,61,17,20
38,4,136,24,17,0.8125,0.8121581497108923,0.8,0.8395061728395061,0.7848101265822784,0.8192771084337349,0.8122359568142701,0.8809188935771214,68,62,17,13
39,4,136,24,17,0.79375,0.7939521800281294,0.8076923076923077,0.7777777777777778,0.810126582278481,0.7924528301886793,0.7937419430446502,0.8384122519143616,63,64,15,18
40,4,136,24,17,0.7875,0.7874667916862009,0.7901234567901234,0.7901234567901234,0.7848101265822784,0.7901234567901234,0.7874667916862009,0.8879512423816222,64,62,17,17
41,5,135,24,18,0.779874213836478,0.7801519468186134,0.7948717948717948,0.7654320987654321,0.7948717948717948,0.779874213836478,0.779874213836478,0.8637226970560304,62,62,16,19
42,5,135,24,18,0.7672955974842768,0.7678062678062678,0.7894736842105263,0.7407407407407407,0.7948717948717948,0.7643312101910829,0.7672587727974047,0.8564419119974676,60,62,16,21
43,5,135,24,18,0.8490566037735849,0.8485280151946819,0.8352941176470589,0.8765432098765432,0.8205128205128205,0.8554216867469879,0.8487634749524413,0.8994935106046217,71,64,14,10
44,5,135,24,18,0.8238993710691824,0.8240740740740741,0.8354430379746836,0.8148148148148148,0.8333333333333334,0.825,0.8238924050632912,0.8708452041785374,66,65,13,15
45,5,135,24,18,0.8238993710691824,0.8233618233618234,0.8117647058823529,0.8518518518518519,0.7948717948717948,0.8313253012048193,0.8235573874445149,0.8752769863880975,69,62,16,12
46,5,135,24,18,0.7987421383647799,0.7986704653371319,0.8024691358024691,0.8024691358024691,0.7948717948717948,0.8024691358024691,0.7986704653371319,0.8717948717948717,65,62,16,16
47,5,135,24,18,0.8427672955974843,0.8421177587844255,0.8255813953488372,0.8765432098765432,0.8076923076923077,0.8502994011976048,0.84236824364516,0.8695789806900917,71,63,15,10
48,5,136,24,17,0.80625,0.805516486951086,0.7777777777777778,0.8641975308641975,0.7468354430379747,0.8187134502923976,0.8053298795086149,0.8754492889513987,70,59,20,11
49,5,136,24,17,0.775,0.7748085638380997,0.7710843373493976,0.7901234567901234,0.759493670886076,0.7804878048780488,0.7748592870544091,0.8570089076418189,64,60,19,17
50,5,136,24,17,0.78125,0.780668854508517,0.7613636363636364,0.8271604938271605,0.7341772151898734,0.7928994082840237,0.7805556644069125,0.8459134239724957,67,58,21,14
