held_out_site,roi_set,model,model_seed,run_id,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
OHSU,12,brainnetcnn,44.0,loso_static_v1_holdout-OHSU_roi-12_brainnetcnn_seed-44_7650e303,0.6659935752807306,0.6212121212121212,0.6146616541353384,0.5517241379310345,0.5714285714285714,0.6578947368421053,0.5614035087719298,0.6140350877192982,0.6484962406015038,16.0,25.0,13.0,12.0
OHSU,12,brainnetcnn,45.0,loso_static_v1_holdout-OHSU_roi-12_brainnetcnn_seed-45_751e089e,0.6807108045684246,0.5303030303030303,0.5780075187969925,0.4716981132075472,0.8928571428571429,0.2631578947368421,0.6172839506172839,0.504720406681191,0.6625939849624061,25.0,10.0,28.0,3.0
OHSU,12,brainnetcnn,46.0,loso_static_v1_holdout-OHSU_roi-12_brainnetcnn_seed-46_d9fad943,0.6807260990089475,0.5606060606060606,0.5761278195488722,0.4871794871794871,0.6785714285714286,0.4736842105263157,0.5671641791044776,0.5605051664753158,0.6184210526315789,19.0,18.0,20.0,9.0
OHSU,12,logreg,,loso_static_v1_holdout-OHSU_roi-12_logreg_seed-deterministic_151cac2d,1.082144949373513,0.4848484848484848,0.5103383458646616,0.4318181818181818,0.6785714285714286,0.3421052631578947,0.5277777777777778,0.4805555555555555,0.5328947368421053,19.0,13.0,25.0,9.0
Peking,116,brainnetcnn,42.0,loso_static_v1_holdout-Peking_roi-116_brainnetcnn_seed-42_21dcfd51,0.6906715401065171,0.5136612021857924,0.5136374907017109,0.4175824175824176,0.5135135135135135,0.5137614678899083,0.4606060606060606,0.5089099954771596,0.5504587155963303,38.0,56.0,53.0,36.0
Peking,116,brainnetcnn,43.0,loso_static_v1_holdout-Peking_roi-116_brainnetcnn_seed-43_b2c61984,0.808991696653529,0.5573770491803278,0.550334738408133,0.4578313253012048,0.5135135135135135,0.5871559633027523,0.4840764331210191,0.5482583122542894,0.5354574758244484,38.0,64.0,45.0,36.0
Peking,116,brainnetcnn,44.0,loso_static_v1_holdout-Peking_roi-116_brainnetcnn_seed-44_74de95a3,0.8550570721645296,0.5081967213114754,0.4830151252169601,0.3823529411764705,0.3513513513513513,0.6146788990825688,0.3661971830985915,0.4822057344064386,0.4769402429952888,26.0,67.0,42.0,48.0
Peking,116,brainnetcnn,45.0,loso_static_v1_holdout-Peking_roi-116_brainnetcnn_seed-45_f31475f1,0.872595495444696,0.4972677595628415,0.5085544259856186,0.4117647058823529,0.5675675675675675,0.4495412844036697,0.4772727272727273,0.4965311004784689,0.5171088519712372,42.0,49.0,60.0,32.0
Peking,116,brainnetcnn,46.0,loso_static_v1_holdout-Peking_roi-116_brainnetcnn_seed-46_63b132cd,0.7385255425153892,0.6338797814207651,0.5755021076121993,0.6060606060606061,0.2702702702702703,0.8807339449541285,0.3738317757009345,0.5575722585068379,0.5112819241259609,20.0,96.0,13.0,54.0
Peking,116,logreg,,loso_static_v1_holdout-Peking_roi-116_logreg_seed-deterministic_5f0a23b3,1.3851964974643765,0.5737704918032787,0.5554178031242252,0.4722222222222222,0.4594594594594595,0.6513761467889908,0.4657534246575342,0.5556039850560399,0.5426481527398959,34.0,71.0,38.0,40.0
Peking,12,brainnetcnn,42.0,loso_static_v1_holdout-Peking_roi-12_brainnetcnn_seed-42_9765b3ad,0.6704660810567284,0.5956284153005464,0.506508802380362,0.5,0.0405405405405405,0.9724770642201837,0.075,0.4081293706293706,0.5820728985866601,3.0,106.0,3.0,71.0
Peking,12,brainnetcnn,43.0,loso_static_v1_holdout-Peking_roi-12_brainnetcnn_seed-43_f4760753,0.6884426697616833,0.5191256830601093,0.5247334490453757,0.4270833333333333,0.5540540540540541,0.4954128440366973,0.4823529411764706,0.516686674669868,0.5428961071162907,41.0,54.0,55.0,33.0
Peking,12,brainnetcnn,44.0,loso_static_v1_holdout-Peking_roi-12_brainnetcnn_seed-44_a12a742c,0.6767236925663261,0.5846994535519126,0.5190304983882966,0.4642857142857143,0.1756756756756756,0.8623853211009175,0.2549019607843137,0.4835115864527629,0.5498388296553434,13.0,94.0,15.0,61.0
Peking,12,brainnetcnn,45.0,loso_static_v1_holdout-Peking_roi-12_brainnetcnn_seed-45_c8a946f3,0.6751054611120221,0.5191256830601093,0.5247334490453757,0.4270833333333333,0.5540540540540541,0.4954128440366973,0.4823529411764706,0.516686674669868,0.5928589139598314,41.0,54.0,55.0,33.0
Peking,12,brainnetcnn,46.0,loso_static_v1_holdout-Peking_roi-12_brainnetcnn_seed-46_3ce46c36,0.6863805313980171,0.4863387978142076,0.4950409124721051,0.4,0.5405405405405406,0.4495412844036697,0.4597701149425287,0.4850933908045977,0.5435159930572774,40.0,49.0,60.0,34.0
Peking,12,logreg,,loso_static_v1_holdout-Peking_roi-12_logreg_seed-deterministic_8a9d3964,0.8575324934700854,0.5683060109289617,0.5269650384329283,0.4509803921568627,0.3108108108108108,0.7431192660550459,0.368,0.5200995850622407,0.5283907760971981,23.0,81.0,28.0,51.0
