fold,repeat,epoch,loss,inner_val_loss,bce,inner_val_bce,accuracy,inner_val_accuracy
1,1,1,5.222504615783691,5.018250465393066,0.8587761521339417,0.7012141942977905,0.5755395889282227,0.5199999809265137
1,1,2,5.219143390655518,4.997623443603516,0.8627892136573792,0.7017351388931274,0.5251798629760742,0.47999998927116394
1,1,3,5.18728494644165,4.976290225982666,0.8449664115905762,0.7015949487686157,0.5035971403121948,0.4399999976158142
1,1,4,5.309593200683594,4.955222129821777,0.9693456292152405,0.7017906308174133,0.5323740839958191,0.4399999976158142
1,1,5,5.154806137084961,4.934990882873535,0.8668675422668457,0.7019048929214478,0.46043166518211365,0.4399999976158142
1,1,6,5.211792945861816,4.914793014526367,0.9168407320976257,0.701874315738678,0.43884891271591187,0.4399999976158142
1,1,7,5.066712856292725,4.894367694854736,0.8237190246582031,0.7018290758132935,0.4748201370239258,0.4000000059604645
1,1,8,5.0754313468933105,4.874178409576416,0.8516773581504822,0.7022257447242737,0.5323740839958191,0.4399999976158142
1,1,9,5.047378063201904,4.853822231292725,0.8195844888687134,0.7022497057914734,0.5467625856399536,0.4000000059604645
1,1,10,4.973788261413574,4.8330512046813965,0.7909270524978638,0.7019562721252441,0.5251798629760742,0.4399999976158142
1,1,11,4.937060356140137,4.81196403503418,0.7875789403915405,0.7010056972503662,0.5323740839958191,0.5199999809265137
1,1,12,5.094142913818359,4.791521072387695,0.9218420386314392,0.7000969052314758,0.5107913613319397,0.5199999809265137
1,1,13,5.06203556060791,4.77156400680542,0.9286172986030579,0.6993165612220764,0.4676258862018585,0.5199999809265137
1,1,14,4.863977432250977,4.751525402069092,0.7674875855445862,0.6984562873840332,0.5035971403121948,0.5199999809265137
1,1,15,4.925286769866943,4.731454372406006,0.8497802019119263,0.697589099407196,0.4892086386680603,0.47999998927116394
1,1,16,4.9893975257873535,4.711899280548096,0.9132170081138611,0.697142481803894,0.4676258862018585,0.5199999809265137
1,1,17,5.008099555969238,4.692996501922607,0.9511137008666992,0.6970718502998352,0.46043166518211365,0.6000000238418579
1,1,18,4.644815444946289,4.674222946166992,0.6404648423194885,0.6970587968826294,0.6043165326118469,0.6000000238418579
1,1,19,4.91493558883667,4.65548849105835,0.8803561329841614,0.6969993114471436,0.48201438784599304,0.6000000238418579
1,1,20,5.045626163482666,4.636654853820801,1.009928584098816,0.6965912580490112,0.4892086386680603,0.6000000238418579
1,1,21,4.8859477043151855,4.6181721687316895,0.8943436145782471,0.6962916851043701,0.4748201370239258,0.6000000238418579
1,1,22,4.809789657592773,4.6002655029296875,0.8609142303466797,0.6963871121406555,0.4748201370239258,0.5600000023841858
1,1,23,4.831507682800293,4.582372665405273,0.8585535883903503,0.6964661478996277,0.6043165326118469,0.5600000023841858
1,1,24,4.72459602355957,4.564300060272217,0.8104807734489441,0.6963368058204651,0.5323740839958191,0.5600000023841858
1,1,25,4.712277412414551,4.546232223510742,0.8130698204040527,0.696144163608551,0.5611510872840881,0.6000000238418579
1,1,26,4.62990665435791,4.528787612915039,0.7666435241699219,0.6965878009796143,0.5611510872840881,0.6000000238418579
