fold,repeat,epoch,loss,inner_val_loss,bce,inner_val_bce,accuracy,inner_val_accuracy
1,1,1,2.2932798862457275,2.149933099746704,0.8375511765480042,0.6966946125030518,0.5111111402511597,0.4583333432674408
1,1,2,2.3211381435394287,2.1458792686462402,0.8689177632331848,0.6957647800445557,0.5111111402511597,0.4583333432674408
1,1,3,2.3421199321746826,2.1417250633239746,0.8929980397224426,0.6946471333503723,0.5259259343147278,0.4583333432674408
1,1,4,2.3383724689483643,2.1375062465667725,0.8922531604766846,0.6933826804161072,0.4888888895511627,0.4583333432674408
1,1,5,2.266296863555908,2.1331987380981445,0.823135495185852,0.692045271396637,0.5407407283782959,0.4583333432674408
1,1,6,2.3477025032043457,2.1289591789245605,0.9075248837471008,0.6908084750175476,0.4888888895511627,0.4583333432674408
1,1,7,2.41394305229187,2.1252799034118652,0.9767776131629944,0.6901641488075256,0.43703705072402954,0.5416666865348816
1,1,8,2.3695671558380127,2.1215898990631104,0.9354480504989624,0.6895372271537781,0.46666666865348816,0.5416666865348816
1,1,9,2.2531466484069824,2.118234395980835,0.8220922350883484,0.6892328262329102,0.5333333611488342,0.5416666865348816
1,1,10,2.3186817169189453,2.114794969558716,0.8906638622283936,0.6888182759284973,0.48148149251937866,0.5416666865348816
1,1,11,2.314239501953125,2.1111440658569336,0.8892470002174377,0.6881613731384277,0.5407407283782959,0.5416666865348816
1,1,12,2.3642759323120117,2.108165979385376,0.9422523379325867,0.6881248950958252,0.45185184478759766,0.5416666865348816
1,1,13,2.2335338592529297,2.105112075805664,0.8144451975822449,0.687995433807373,0.45185184478759766,0.5416666865348816
1,1,14,2.4014008045196533,2.1017518043518066,0.9852402210235596,0.6875731945037842,0.4592592716217041,0.5416666865348816
1,1,15,2.220531463623047,2.098605155944824,0.8073058128356934,0.6873472332954407,0.5629629492759705,0.5416666865348816
1,1,16,2.2772927284240723,2.095595121383667,0.866981029510498,0.6872467994689941,0.5407407283782959,0.5416666865348816
1,1,17,2.234753370285034,2.0924370288848877,0.827358603477478,0.6870167255401611,0.5333333611488342,0.5
1,1,18,2.264113187789917,2.08914852142334,0.8596439957618713,0.6866429448127747,0.4888888895511627,0.5416666865348816
1,1,19,2.2439417839050293,2.086568832397461,0.8423765897750854,0.6869428157806396,0.46666666865348816,0.5416666865348816
1,1,20,2.274388074874878,2.083494186401367,0.8756909370422363,0.6867079734802246,0.5333333611488342,0.5416666865348816
1,1,21,2.2237396240234375,2.0798892974853516,0.8278607130050659,0.6858856081962585,0.5407407283782959,0.5416666865348816
1,1,22,2.374154806137085,2.076767921447754,0.9810628294944763,0.6855685114860535,0.4444444477558136,0.5416666865348816
1,1,23,2.174860954284668,2.0742173194885254,0.7845788598060608,0.6858291625976562,0.5333333611488342,0.5416666865348816
1,1,24,2.417375326156616,2.0714895725250244,1.0299019813537598,0.6858940720558167,0.4740740656852722,0.5416666865348816
1,1,25,2.2418153285980225,2.0686166286468506,0.857113242149353,0.6857612729072571,0.4962962865829468,0.5416666865348816
1,1,26,2.2593822479248047,2.0655441284179688,0.8774127960205078,0.6854082942008972,0.4296296238899231,0.5833333134651184
1,1,27,2.3165764808654785,2.0625054836273193,0.9373251795768738,0.6850908398628235,0.4444444477558136,0.625
1,1,28,2.28700852394104,2.059547185897827,0.9104846715927124,0.6848660111427307,0.4888888895511627,0.625
1,1,29,2.2238574028015137,2.0566389560699463,0.8500695824623108,0.6846925616264343,0.5111111402511597,0.5833333134651184
