fold,repeat,epoch,loss,inner_val_loss,bce,inner_val_bce,accuracy,inner_val_accuracy
1,1,1,0.7021351456642151,0.7028430104255676,0.6918480396270752,0.7028430104255676,0.5251798629760742,0.4000000059604645
1,1,2,0.6958696246147156,0.7059593200683594,0.6898066401481628,0.7059593200683594,0.5755395889282227,0.4399999976158142
1,1,3,0.6913102269172668,0.7082169055938721,0.6876236796379089,0.7082169055938721,0.633093535900116,0.4399999976158142
1,1,4,0.6872178912162781,0.709810733795166,0.6849774122238159,0.709810733795166,0.6258992552757263,0.4399999976158142
1,1,5,0.6833984851837158,0.7109034657478333,0.6819370985031128,0.7109034657478333,0.6187050342559814,0.4399999976158142
1,1,6,0.6797640919685364,0.7116533517837524,0.6786020994186401,0.7116533517837524,0.6258992552757263,0.36000001430511475
1,1,7,0.6762675046920776,0.7122026681900024,0.6750816702842712,0.7122026681900024,0.6474820375442505,0.36000001430511475
1,1,8,0.6728792190551758,0.712666928768158,0.6714757084846497,0.712666928768158,0.6546762585639954,0.3199999928474426
1,1,9,0.6695769429206848,0.7131295800209045,0.6678633689880371,0.7131295800209045,0.6618704795837402,0.3199999928474426
1,1,10,0.666341245174408,0.7136431932449341,0.6642979979515076,0.7136431932449341,0.6762589812278748,0.4399999976158142
1,1,11,0.6631550192832947,0.7142348289489746,0.6608083844184875,0.7142348289489746,0.6762589812278748,0.36000001430511475
1,1,12,0.6600030660629272,0.7149136066436768,0.6574034690856934,0.7149136066436768,0.6834532618522644,0.36000001430511475
1,1,13,0.6568723320960999,0.7156758904457092,0.6540772914886475,0.7156758904457092,0.6834532618522644,0.36000001430511475
1,1,14,0.6537520289421082,0.7165125012397766,0.6508147716522217,0.7165125012397766,0.6978417038917542,0.36000001430511475
1,1,15,0.6506325602531433,0.7174115777015686,0.6475962400436401,0.7174115777015686,0.6978417038917542,0.36000001430511475
1,1,16,0.6475052833557129,0.7183625102043152,0.6444004774093628,0.7183625102043152,0.7122302055358887,0.36000001430511475
1,1,17,0.6443616151809692,0.7193570733070374,0.6412070393562317,0.7193570733070374,0.7050359845161438,0.36000001430511475
1,1,18,0.641193151473999,0.7203901410102844,0.6379976868629456,0.7203901410102844,0.7194244861602783,0.36000001430511475
1,1,19,0.6379908919334412,0.7214602828025818,0.6347569823265076,0.7214602828025818,0.7122302055358887,0.36000001430511475
1,1,20,0.6347456574440002,0.722568154335022,0.6314716339111328,0.722568154335022,0.7050359845161438,0.36000001430511475
1,1,21,0.631447970867157,0.7237173318862915,0.6281307339668274,0.7237173318862915,0.7122302055358887,0.36000001430511475
