fold,repeat,epoch,loss,inner_val_loss,bce,inner_val_bce,accuracy,inner_val_accuracy
1,1,1,2.372501850128174,2.1615803241729736,0.8918404579162598,0.6831789612770081,0.46043166518211365,0.6000000238418579
1,1,2,2.2556467056274414,2.1594996452331543,0.7783846259117126,0.6845013499259949,0.5179855823516846,0.6000000238418579
1,1,3,2.272916078567505,2.156885862350464,0.7990884780883789,0.6853436231613159,0.5467625856399536,0.6000000238418579
1,1,4,2.499333381652832,2.153921127319336,1.0289435386657715,0.6857552528381348,0.40287768840789795,0.6000000238418579
1,1,5,2.3300352096557617,2.1512537002563477,0.8629882335662842,0.6864089369773865,0.4748201370239258,0.6000000238418579
1,1,6,2.264070987701416,2.148728370666504,0.8003713488578796,0.6872583627700806,0.6115108132362366,0.5600000023841858
1,1,7,2.2417659759521484,2.145197868347168,0.7814415693283081,0.6871063709259033,0.5251798629760742,0.5600000023841858
1,1,8,2.227647304534912,2.141695022583008,0.7707042098045349,0.6869959235191345,0.48201438784599304,0.6000000238418579
1,1,9,2.196768283843994,2.138150215148926,0.7432332634925842,0.6868788003921509,0.5539568066596985,0.6000000238418579
1,1,10,2.3078320026397705,2.134506940841675,0.8577327132225037,0.6866891384124756,0.43884891271591187,0.6000000238418579
1,1,11,2.2668397426605225,2.130856990814209,0.8201875686645508,0.6864669322967529,0.4892086386680603,0.6399999856948853
1,1,12,2.2753467559814453,2.1273574829101562,0.8321217894554138,0.6863757371902466,0.4892086386680603,0.6000000238418579
1,1,13,2.2827773094177246,2.124011993408203,0.8429121971130371,0.6863054633140564,0.5251798629760742,0.6000000238418579
1,1,14,2.3836398124694824,2.120643138885498,0.9470276236534119,0.6861588358879089,0.49640288949012756,0.5600000023841858
1,1,15,2.293761968612671,2.1174845695495605,0.8603707551956177,0.6862170696258545,0.5107913613319397,0.6000000238418579
1,1,16,2.322977304458618,2.113719940185547,0.8927943706512451,0.685648500919342,0.4532374143600464,0.6000000238418579
1,1,17,2.2305426597595215,2.1101109981536865,0.803555965423584,0.6852300763130188,0.49640288949012756,0.6399999856948853
1,1,18,2.224432945251465,2.105778932571411,0.8006311058998108,0.6840682029724121,0.4748201370239258,0.6399999856948853
1,1,19,2.1971826553344727,2.10142183303833,0.7765340805053711,0.6828381419181824,0.5395683646202087,0.6399999856948853
1,1,20,2.3128998279571533,2.097728729248047,0.8953694701194763,0.6822420358657837,0.49640288949012756,0.6399999856948853
1,1,21,2.320021867752075,2.0943732261657715,0.9055773615837097,0.6819583177566528,0.4748201370239258,0.6399999856948853
1,1,22,2.334284543991089,2.091578483581543,0.9229109287261963,0.6822202205657959,0.5107913613319397,0.6399999856948853
1,1,23,2.2435832023620605,2.0876479148864746,0.8352523446083069,0.6813192963600159,0.46043166518211365,0.6399999856948853
1,1,24,2.1355438232421875,2.083561897277832,0.730246365070343,0.6802618503570557,0.568345308303833,0.6399999856948853
1,1,25,2.247084856033325,2.0792739391326904,0.8448094725608826,0.678993821144104,0.5107913613319397,0.6399999856948853
1,1,26,2.19187593460083,2.075590133666992,0.7926250696182251,0.6783469915390015,0.5539568066596985,0.6399999856948853
1,1,27,2.2558765411376953,2.0721840858459473,0.8596693873405457,0.6779966950416565,0.568345308303833,0.6399999856948853
1,1,28,2.2612106800079346,2.068950891494751,0.8680631518363953,0.6778234839439392,0.5107913613319397,0.6399999856948853
1,1,29,2.2316160202026367,2.065612554550171,0.8415249586105347,0.6775343418121338,0.5611510872840881,0.6000000238418579
1,1,30,2.1483888626098633,2.0624072551727295,0.7613424062728882,0.6773693561553955,0.568345308303833,0.6399999856948853
1,1,31,2.1966753005981445,2.059065341949463,0.8126720190048218,0.6770715117454529,0.4892086386680603,0.6399999856948853
1,1,32,2.181929349899292,2.0555965900421143,0.8009675741195679,0.6766403317451477,0.5179855823516846,0.6800000071525574
1,1,33,2.1198301315307617,2.052478313446045,0.7419012188911438,0.6765490770339966,0.5827338099479675,0.6399999856948853
1,1,34,2.1840312480926514,2.0492546558380127,0.8091335296630859,0.6763675808906555,0.5107913613319397,0.6399999856948853
1,1,35,2.2763750553131104,2.04541277885437,0.9045209288597107,0.6755616068840027,0.4532374143600464,0.6399999856948853
1,1,36,2.1894607543945312,2.0427401065826416,0.8206331133842468,0.6759041547775269,0.5467625856399536,0.6399999856948853
1,1,37,2.174652338027954,2.0387258529663086,0.808846652507782,0.6749212145805359,0.5179855823516846,0.6800000071525574
1,1,38,2.1747052669525146,2.0356643199920654,0.8119283318519592,0.6748912930488586,0.5179855823516846,0.6399999856948853
1,1,39,2.2975876331329346,2.0326411724090576,0.9378464221954346,0.6749094128608704,0.5107913613319397,0.6399999856948853
1,1,40,2.13630747795105,2.029258966445923,0.7796079516410828,0.6745609045028687,0.5251798629760742,0.6399999856948853
1,1,41,2.1674351692199707,2.0261316299438477,0.8137570023536682,0.6744316220283508,0.5323740839958191,0.6399999856948853
1,1,42,2.244128942489624,2.0226831436157227,0.8934437036514282,0.6739760041236877,0.4748201370239258,0.6399999856948853
1,1,43,2.267799139022827,2.0193090438842773,0.9201071262359619,0.6735896468162537,0.4676258862018585,0.6399999856948853
1,1,44,2.062196731567383,2.016411066055298,0.7174894213676453,0.673672080039978,0.597122311592102,0.6399999856948853
1,1,45,2.0461206436157227,2.0130443572998047,0.704393208026886,0.67328280210495,0.5251798629760742,0.6399999856948853
1,1,46,2.1390340328216553,2.0100715160369873,0.8002849817276001,0.6732954382896423,0.5179855823516846,0.6000000238418579
1,1,47,2.182814121246338,2.0072152614593506,0.8470510244369507,0.6734198927879333,0.49640288949012756,0.6399999856948853
1,1,48,2.1766319274902344,2.0044455528259277,0.8438470363616943,0.6736239790916443,0.49640288949012756,0.6399999856948853
