fold,repeat,epoch,loss,inner_val_loss,accuracy,inner_val_accuracy
1,1,1,0.7063413262367249,0.6976010203361511,0.4740740656852722,0.625
1,1,2,0.6926295161247253,0.6978568434715271,0.4888888895511627,0.5
1,1,3,0.685778021812439,0.6998379826545715,0.5407407283782959,0.375
1,1,4,0.6803781986236572,0.7017596364021301,0.5925925970077515,0.375
1,1,5,0.6751955151557922,0.7036020159721375,0.5925925970077515,0.4166666567325592
1,1,6,0.6698892116546631,0.7056471705436707,0.585185170173645,0.4166666567325592
1,1,7,0.6642733216285706,0.7081237435340881,0.6222222447395325,0.5
1,1,8,0.658151388168335,0.7112442851066589,0.6222222447395325,0.5
1,1,9,0.6512807011604309,0.7152947783470154,0.6518518328666687,0.5416666865348816
1,1,10,0.6433432698249817,0.7207382321357727,0.6592592597007751,0.5416666865348816
1,1,11,0.6339235901832581,0.728354275226593,0.6740740537643433,0.5416666865348816
1,1,12,0.6225466728210449,0.739423930644989,0.7037037014961243,0.625
1,1,13,0.6089397668838501,0.7557473182678223,0.7037037014961243,0.625
1,1,14,0.5936305522918701,0.7784619331359863,0.6962962746620178,0.5833333134651184
1,1,15,0.5776688456535339,0.8045185208320618,0.7185184955596924,0.4583333432674408
1,1,16,0.5599930286407471,0.8283930420875549,0.7185184955596924,0.5
1,1,17,0.5381715297698975,0.851841926574707,0.7111111283302307,0.4166666567325592
1,1,18,0.5114295482635498,0.8799143433570862,0.7629629373550415,0.4166666567325592
1,1,19,0.4801720976829529,0.9186237454414368,0.7925925850868225,0.375
1,1,20,0.44922399520874023,0.9834206104278564,0.800000011920929,0.375
1,1,21,0.41429612040519714,1.0211784839630127,0.8444444537162781,0.375
1,1,22,0.3828568160533905,1.0644489526748657,0.8666666746139526,0.375
1,1,23,0.3572099506855011,1.1150803565979004,0.8888888955116272,0.4583333432674408
1,1,24,0.34003716707229614,1.1505961418151855,0.8814814686775208,0.4583333432674408
1,1,25,0.32483699917793274,1.1473439931869507,0.8888888955116272,0.5
1,1,26,0.3455990254878998,1.0779345035552979,0.8296296000480652,0.4583333432674408
1,1,27,0.33650755882263184,1.0382500886917114,0.8592592477798462,0.5
1,1,28,0.2655157446861267,1.1863503456115723,0.8962963223457336,0.3333333432674408
1,1,29,0.2243756502866745,1.2164217233657837,0.9259259104728699,0.4166666567325592
1,1,30,0.20343998074531555,1.2622603178024292,0.9259259104728699,0.4166666567325592
1,1,31,0.18063661456108093,1.3692528009414673,0.9407407641410828,0.4166666567325592
1,1,32,0.1591777503490448,1.4605432748794556,0.9629629850387573,0.375
1,1,33,0.14527909457683563,1.5325688123703003,0.9629629850387573,0.3333333432674408
1,1,34,0.13377638161182404,1.5755853652954102,0.9629629850387573,0.3333333432674408
1,1,35,0.11996660381555557,1.6910511255264282,0.9629629850387573,0.3333333432674408
1,1,36,0.1002407819032669,1.905924677848816,0.970370352268219,0.2916666567325592
1,1,37,0.08430833369493484,1.9838446378707886,0.9851852059364319,0.3333333432674408
1,1,38,0.21381334960460663,1.929955005645752,0.9481481313705444,0.4166666567325592
1,1,39,0.12137383222579956,1.8885632753372192,0.9407407641410828,0.3333333432674408
